Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"Kershaw, Clayton",34571429,GOOD,Salary was parsed,2016,MLB,True
"Greinke, Zack",34000000,GOOD,Salary was parsed,2016,MLB,True
"Price, David",30000000,GOOD,Salary was parsed,2016,MLB,True
"Hamilton, Josh",28410000,GOOD,Salary was parsed,2016,MLB,True
"Cabrera, Miguel",28000000,GOOD,Salary was parsed,2016,MLB,True
"Verlander, Justin",28000000,GOOD,Salary was parsed,2016,MLB,True
"Hernandez, Felix",25857143,GOOD,Salary was parsed,2016,MLB,True
"Howard, Ryan",25000000,GOOD,Salary was parsed,2016,MLB,True
"Lester, Jon",25000000,GOOD,Salary was parsed,2016,MLB,True
"Pujols, Albert",25000000,GOOD,Salary was parsed,2016,MLB,True
"Sabathia, CC",25000000,GOOD,Salary was parsed,2016,MLB,True
"Cano, Robinson",24000000,GOOD,Salary was parsed,2016,MLB,True
"Fielder, Prince",24000000,GOOD,Salary was parsed,2016,MLB,True
"Hamels, Cole",23500000,GOOD,Salary was parsed,2016,MLB,True
"Teixeira, Mark",23125000,GOOD,Salary was parsed,2016,MLB,True
"Mauer, Joe",23000000,GOOD,Salary was parsed,2016,MLB,True
"Ramirez, Hanley",22750000,GOOD,Salary was parsed,2016,MLB,True
"Scherzer, Max",22142857,GOOD,Salary was parsed,2016,MLB,True
"Upton, Justin",22125000,GOOD,Salary was parsed,2016,MLB,True
"Reyes, Jose",22000000,GOOD,Salary was parsed,2016,MLB,True
"Tanaka, Masahiro",22000000,GOOD,Salary was parsed,2016,MLB,True
"Gonzalez, Adrian",21857143,GOOD,Salary was parsed,2016,MLB,True
"Kemp, Matt",21750000,GOOD,Salary was parsed,2016,MLB,True
"Crawford, Carl",21607143,GOOD,Salary was parsed,2016,MLB,True
"Werth, Jayson",21571429,GOOD,Salary was parsed,2016,MLB,True
"Davis, Chris",21118782,GOOD,Salary was parsed,2016,MLB,True
"Rodriguez, Alex",21000000,GOOD,Salary was parsed,2016,MLB,True
"Shields, James",21000000,GOOD,Salary was parsed,2016,MLB,True
"Cain, Matt",20833333,GOOD,Salary was parsed,2016,MLB,True
"Cespedes, Yoenis",20833333,GOOD,Salary was parsed,2016,MLB,True
"Wilson, C.J.",20500000,GOOD,Salary was parsed,2016,MLB,True
"Weaver, Jered",20200000,GOOD,Salary was parsed,2016,MLB,True
"Porcello, Rick",20125000,GOOD,Salary was parsed,2016,MLB,True
"Braun, Ryan",20000000,GOOD,Salary was parsed,2016,MLB,True
"Choo, Shin-Soo",20000000,GOOD,Salary was parsed,2016,MLB,True
"Tulowitzki, Troy",20000000,GOOD,Salary was parsed,2016,MLB,True
"Votto, Joey",20000000,GOOD,Salary was parsed,2016,MLB,True
"Wright, David",20000000,GOOD,Salary was parsed,2016,MLB,True
"Wainwright, Adam",19500000,GOOD,Salary was parsed,2016,MLB,True
"Pence, Hunter",18500000,GOOD,Salary was parsed,2016,MLB,True
"Bailey, Homer",18000000,GOOD,Salary was parsed,2016,MLB,True
"Beltre, Adrian",18000000,GOOD,Salary was parsed,2016,MLB,True
"Ethier, Andre",18000000,GOOD,Salary was parsed,2016,MLB,True
"Martinez, Victor",18000000,GOOD,Salary was parsed,2016,MLB,True
"Zimmermann, Jordan",18000000,GOOD,Salary was parsed,2016,MLB,True
"Sandoval, Pablo",17600000,GOOD,Salary was parsed,2016,MLB,True
"Heyward, Jason",17500000,GOOD,Salary was parsed,2016,MLB,True
"Gonzalez, Carlos",17428571,GOOD,Salary was parsed,2016,MLB,True
"Holliday, Matt",17000000,GOOD,Salary was parsed,2016,MLB,True
"McCann, Brian",17000000,GOOD,Salary was parsed,2016,MLB,True
"Sanchez, Anibal",16800000,GOOD,Salary was parsed,2016,MLB,True
"Jones, Adam",16333333,GOOD,Salary was parsed,2016,MLB,True
"Trout, Mike",16083333,GOOD,Salary was parsed,2016,MLB,True
"Upton, Melvin Jr.",16050000,GOOD,Salary was parsed,2016,MLB,True
"Granderson, Curtis",16000000,GOOD,Salary was parsed,2016,MLB,True
"Lackey, John",16000000,GOOD,Salary was parsed,2016,MLB,True
"Ortiz, David",16000000,GOOD,Salary was parsed,2016,MLB,True
"Cueto, Johnny",15833333,GOOD,Salary was parsed,2016,MLB,True
"Rasmus, Colby",15800000,GOOD,Salary was parsed,2016,MLB,True
"Wieters, Matt",15800000,GOOD,Salary was parsed,2016,MLB,True
"Danks, John",15750000,GOOD,Salary was parsed,2016,MLB,True
"Andrus, Elvis",15250000,GOOD,Salary was parsed,2016,MLB,True
"Beltran, Carlos",15000000,GOOD,Salary was parsed,2016,MLB,True
"Martin, Russell",15000000,GOOD,Salary was parsed,2016,MLB,True
"Peavy, Jake",15000000,GOOD,Salary was parsed,2016,MLB,True
"Swisher, Nick",15000000,GOOD,Salary was parsed,2016,MLB,True
"Cruz, Nelson",14250000,GOOD,Salary was parsed,2016,MLB,True
"Molina, Yadier",14200000,GOOD,Salary was parsed,2016,MLB,True
"Bautista, Jose",14000000,GOOD,Salary was parsed,2016,MLB,True
"Bourn, Michael",14000000,GOOD,Salary was parsed,2016,MLB,True
"Cabrera, Melky",14000000,GOOD,Salary was parsed,2016,MLB,True
"Kinsler, Ian",14000000,GOOD,Salary was parsed,2016,MLB,True
"Montero, Miguel",14000000,GOOD,Salary was parsed,2016,MLB,True
"Zimmerman, Ryan",14000000,GOOD,Salary was parsed,2016,MLB,True
"Liriano, Francisco",13666667,GOOD,Salary was parsed,2016,MLB,True
"Gardner, Brett",13500000,GOOD,Salary was parsed,2016,MLB,True
"Santana, Ervin",13500000,GOOD,Salary was parsed,2016,MLB,True
"McCutchen, Andrew",13208333,GOOD,Salary was parsed,2016,MLB,True
"Harrison, Matt",13200000,GOOD,Salary was parsed,2016,MLB,True
"Pedroia, Dustin",13125000,GOOD,Salary was parsed,2016,MLB,True
"Buchholz, Clay",13000000,GOOD,Salary was parsed,2016,MLB,True
"Headley, Chase",13000000,GOOD,Salary was parsed,2016,MLB,True
"Jackson, Edwin",13000000,GOOD,Salary was parsed,2016,MLB,True
"Jimenez, Ubaldo",13000000,GOOD,Salary was parsed,2016,MLB,True
"LaRoche, Adam",13000000,GOOD,Salary was parsed,2016,MLB,True
"Phillips, Brandon",13000000,GOOD,Salary was parsed,2016,MLB,True
"Kazmir, Scott",12666667,GOOD,Salary was parsed,2016,MLB,True
"Bruce, Jay",12541667,GOOD,Salary was parsed,2016,MLB,True
"De La Rosa, Jorge",12500000,GOOD,Salary was parsed,2016,MLB,True
"Garza, Matt",12500000,GOOD,Salary was parsed,2016,MLB,True
"Hardy, J.J.",12500000,GOOD,Salary was parsed,2016,MLB,True
"McCarthy, Brandon",12500000,GOOD,Salary was parsed,2016,MLB,True
"Freeman, Freddie",12359375,GOOD,Salary was parsed,2016,MLB,True
"Gonzalez, Gio",12100000,GOOD,Salary was parsed,2016,MLB,True
"Longoria, Evan",12100000,GOOD,Salary was parsed,2016,MLB,True
"Dickey, R.A.",12000000,GOOD,Salary was parsed,2016,MLB,True
"Gordon, Alex",12000000,GOOD,Salary was parsed,2016,MLB,True
"Hill, Aaron",12000000,GOOD,Salary was parsed,2016,MLB,True
"Leake, Mike",12000000,GOOD,Salary was parsed,2016,MLB,True
"Nolasco, Ricky",12000000,GOOD,Salary was parsed,2016,MLB,True
"Abreu, Jose",11666667,GOOD,Salary was parsed,2016,MLB,True
"Butler, Billy",11666667,GOOD,Salary was parsed,2016,MLB,True
"Donaldson, Josh",11650000,GOOD,Salary was parsed,2016,MLB,True
"Estrada, Marco",11500000,GOOD,Salary was parsed,2016,MLB,True
"Garcia, Jaime",11500000,GOOD,Salary was parsed,2016,MLB,True
"Chapman, Aroldis",11325000,GOOD,Salary was parsed,2016,MLB,True
"Castillo, Rusney",11271429,GOOD,Salary was parsed,2016,MLB,True
"Kimbrel, Craig",11250000,GOOD,Salary was parsed,2016,MLB,True
"Pagan, Angel",11250000,GOOD,Salary was parsed,2016,MLB,True
"Iwakuma, Hisashi",11000000,GOOD,Salary was parsed,2016,MLB,True
"Markakis, Nick",11000000,GOOD,Salary was parsed,2016,MLB,True
"Prado, Martin",11000000,GOOD,Salary was parsed,2016,MLB,True
"Robertson, David",11000000,GOOD,Salary was parsed,2016,MLB,True
"Samardzija, Jeff",10800000,GOOD,Salary was parsed,2016,MLB,True
"Arrieta, Jake",10700000,GOOD,Salary was parsed,2016,MLB,True
"Jansen, Kenley",10650000,GOOD,Salary was parsed,2016,MLB,True
"Walker, Neil",10550000,GOOD,Salary was parsed,2016,MLB,True
"Zobrist, Ben",10500000,GOOD,Salary was parsed,2016,MLB,True
"Strasburg, Stephen",10400000,GOOD,Salary was parsed,2016,MLB,True
"Darvish, Yu",10000000,GOOD,Salary was parsed,2016,MLB,True
"Encarnacion, Edwin",10000000,GOOD,Salary was parsed,2016,MLB,True
"Happ, J.A.",10000000,GOOD,Salary was parsed,2016,MLB,True
"Holland, Derek",10000000,GOOD,Salary was parsed,2016,MLB,True
"Kendrick, Howie",10000000,GOOD,Salary was parsed,2016,MLB,True
"Bumgarner, Madison",9950000,GOOD,Salary was parsed,2016,MLB,True
